2015,2016,2017,2018,2019
Arty,BRYAN KEARNEY,12th Planet,Alesso,Aly & Fila
Billion,FERRY CORSTEN,Aazar,Andy C,Andrew Rayel
BlasterJaxx,JORN VAN DEYNHOVEN,AC Slater,Bassrush Experience,Armin Van Buuren
Brillz,LEIEL,Alison Wonderland,Bijou,Attlas
Calvin Harris,MYON & SHANE 54,Aly & Fila,Black Tiger Sex Machine,Audien
Carnage,PAUL VAN DYK,Angelz,Born Dirty,Audiofreq
Chevy Chase,PURE NRG,Astrix,Catz ‘N Dogz,BIJOU
D.O.D,VINI VICI,Audien,Champagne Drip,BadKlaat
David Steven,WILL ATKINSON,Bleep Bloop,Chris Lake,Benda
Deafmind,BRO SAFARI,Borgeous,Christofi,Camo & Krooked
Firebeatz,CALYX & TEEBEE,BOT,Claptone,Carnage
Flux Pavilion,DATSIK,Bro Safari,Consouls,Codes
Friction,DELTA HEAVY,Camo & Crooked,Dash Berlin,Cold Blue
G Jones,DOCTOR P,Cheat Codes,Detlef,Cray
Herobust,GHASTLY,Chris Lake,Discovery Project,Darren Styles
Kill the Noise,KASRA B2B ENEI B2B MEFJUS,Chris Schweizer,DJ Mustard,David Gravell
Knife Party,LUMBERJVCK,Craig Williams,Droeloe,Deadmau5
Laidback Luke,MC DINO,Cut Snake,Electric Mantis,Deorro
Loadstar,SPAG HEDDY,Darren Porter,Elephante,Don Diablo
Must Die!,TROYBOI,Daun Giventi,Fisher,Dr. Phunk 
Protohype,ADAM AUBURN,DC Breaks b2b Loadstar,Flosstradamus,Dubloadz
Quintino,CARNAGE,Des McMahon,Gammer,Ekali
Shelco Garcia & TeenWolf,CHRIS LAKE,Dieselboy,J. Worra,Eprom
Super You&Me,DADA LIFE,Diplo,Jack Beats,Eyes Everywhere
Tommy Trash,GALANTIS,Discovery Project,Jax Jones,Fatum
Tujamo,GO FREEK,Dombresky,Jayceeoh,Feed Me
Yellow Claw,MARSHMELLO,Drumsound & Bassline Smith,JSTJR,Flux Pavilion 
Audien ,VINDATA,Ekali,Judge,Ganja White Night
Bingo Players,ALESSO,Eptic b2b Must Die,Just A Gent,Grlskout
DJ Snake,DEORRO,Gentlemen’s Club,k?d,Habstrakt
Dyloot,KLINGANDE,Gladiator,Kayzo,Hook N Sling
John Beaver,SEVEN LIONS,Go Freek,Kill The Noise,Isaac
Jordan Suckley,SLANDER,GTA,KSHMR,J. Worra
Kidnap Kid,SLEEPY TOM,Hardwell,Kuuro,Jay Robinson
LEIEL,YELLOW CLAW,Herobust,Latmun,Kendoll
Markus Schulz,ARMAND VAN HELDEN,Illenium,Lee Foss,Kristina Sky
Motez,BILL KENNY,Jax Jones,Left/Right,Lady Faith
NOM DE STRIP,JACKMASTER,JSTJR,LondonBridge,Lil Texas
SEAN TYAS,KINK,Krywolf,MC Dino,Liquid Soul
SHOWTEK,PATRICK TOPPING,Leiel,Mercer,MADGRRL 
SIMON PATTERSON,TRENT CANTRELLE,Liquid Soul,Midnight Tyrannosaurus,Moksi
SNR,WAZE & ODYSSEY,Markus Schulz,Mr. Carmack,Monstergetdown
THE MAGICIAN,ADRIATIQUE,Martin Solveig,NuKid,No Mana
TIESTO,JIMMY EDGAR,MC Dino,Oliver,Noizu
UMMET OZCAN,LANDIS LAPACE,MK,Oliver Heldens,REZZ
WONSIK,MY NU LENG B2B ONEMAN,Netsky (DJ Set),R3hab,Rawtek
,PAN POT,NGHTMRE,Redlight,Rusko
,RSONNY FODERA,Ookay,Rell The Soundbender,Sage
,WILL CLARKE,Party Favor,Rockwell,Sage Armstrong
,,Paul Van Dyk,Sage Armstrong,Said The Sky
,,Phiso b2b Aweminus b2b Definitive,Sam F,Salvatore Ganacci
,,Redlight,SAYMYNAME,Seven Lions
,,Rell The Soundbender,Seven Lions,Someones Daughter
,,Reorder,Showtek,Soothslayer
,,REZZ,Sinden,Stephanie
,,Ruben De Ronde,Solardo,Timmy Trumpet
,,Sage Armstrong,Space Yacht,WENZDAY
,,Sander Van Doorn,The Upbeats,Wax Motif
,,Sean Tyas,Tiësto,YehMe2
,,Shiba San,Tritonal,ZHU
,,Sikdope,Valentino Khan,
,,Simon Patterson,Walker & Royce,
,,Sinden,Will Clarke,
,,Snails,Yultron,
,,Soothslayer,Zeke Beats,
,,Tantrum Desire,,
,,Tommy Trash,,
,,Trollphace b2b P0gman,,
,,Two Fresh,,
,,Vini Vici,,
,,WAIO,,
,,Will Clarke,,
,,Wiwek,,
,,Wongo,,
,,Yellow Claw,,